sku,product_name,price,category,quantity,brand,description,supplier,warranty_period,stock_status
69469893,Whatchamacallit,86.75,Toys,35.0,BrandA,Usually thus hair professor that real.,SupplierX,2 years,Out of Stock
60548184,Widget,479.27,Home,93.0,BrandD,Part officer film adult executive cut role.,SupplierZ,3 years,Limited
10514115,Gadget,414.19,Toys,22.0,BrandB,Knowledge three market blood.,SupplierX,1 years,Out of Stock
60347107,Contraption,428.7,Books,64.0,BrandD,True agent whom until term coach cold.,SupplierY,1 years,Limited
00163521,Gadget,454.59,Home,14.0,BrandB,Since by return medical.,SupplierX,3 years,Limited
52235634,Whatchamacallit,405.21,Grocery,3.0,BrandB,American project several list city read two.,SupplierY,3 years,In Stock
89857892,Widget,459.16,Home,15.0,BrandC,Understand enjoy continue language alone.,SupplierY,3 years,Limited
33564814,Thingamajig,99.82,Toys,27.0,BrandB,Unit it may south operation pay.,SupplierX,2 years,Limited
41113271,Gadget,145.38,Electronics,25.0,BrandB,Write usually quite camera student.,SupplierX,2 years,In Stock
43099740,Contraption,425.51,Electronics,32.0,BrandA,Drug agreement down environment determine.,SupplierX,3 years,In Stock
11761389,Thingamajig,28.17,Toys,10.0,BrandC,See Democrat best.,SupplierZ,3 years,Limited
10996041,Widget,86.88,Home,81.0,BrandB,We simple particular any data.,SupplierX,1 years,Out of Stock
23820722,Widget,251.53,Clothing,70.0,BrandB,Subject fine question smile with material leg.,SupplierZ,2 years,Limited
36894932,Gadget,85.44,Grocery,86.0,BrandA,During general before. Relationship wrong under.,SupplierZ,3 years,Limited
56392074,Contraption,12.99,Grocery,63.0,BrandA,Trade their ok production article.,SupplierX,2 years,Out of Stock
00143448,Whatchamacallit,493.69,Clothing,93.0,BrandA,Change by heavy story rock he.,SupplierY,3 years,Out of Stock
90014864,Gadget,200.19,Clothing,12.0,BrandA,However ball anything seven.,SupplierZ,1 years,In Stock
67209750,Gadget,341.74,Toys,50.0,BrandA,Forget rule stop. Low word either likely stage.,SupplierY,1 years,Out of Stock
37339593,Widget,340.32,Clothing,37.0,BrandD,Medical role sometimes gun group experience yard.,SupplierX,2 years,Out of Stock
32352665,Thingamajig,410.8,Electronics,34.0,BrandC,Tonight paper bring campaign.,SupplierY,3 years,Limited
43750498,Contraption,270.56,Books,92.0,BrandB,Southern get base other land magazine.,SupplierY,1 years,Limited
50256259,Gadget,338.63,Grocery,30.0,BrandA,One change establish sport together.,SupplierZ,3 years,In Stock
92228887,Widget,396.85,Toys,58.0,BrandB,Do soon add agreement car anyone sit.,SupplierY,1 years,In Stock
94802733,Doohickey,428.37,Grocery,24.0,BrandC,If other science fact no over.,SupplierX,1 years,In Stock
07908088,Whatchamacallit,328.47,Electronics,96.0,BrandC,Community close industry drop.,SupplierY,1 years,In Stock
33591483,Gadget,56.99,Grocery,42.0,BrandC,Father who include sea effort ten own.,SupplierY,2 years,Limited
08933379,Widget,153.61,Home,84.0,BrandB,Artist win drug Congress whose hard we.,SupplierZ,3 years,In Stock
47676541,Whatchamacallit,373.96,Electronics,99.0,BrandD,Practice everything animal factor.,SupplierY,1 years,In Stock
17713313,Doohickey,181.51,Home,33.0,BrandC,Improve make me mission.,SupplierY,1 years,Out of Stock
17891943,Doohickey,10.8,Grocery,58.0,BrandA,Explain purpose little either apply study.,SupplierY,2 years,Limited
93375238,Whatchamacallit,158.15,Clothing,47.0,BrandD,Against by travel certain.,SupplierX,1 years,In Stock
72185414,Widget,498.51,Books,63.0,BrandA,Yeah baby main option need fear.,SupplierZ,2 years,Out of Stock
10322161,Thingamajig,147.23,Toys,7.0,BrandD,It school member window.,SupplierZ,3 years,In Stock
96511626,Contraption,300.36,Electronics,52.0,BrandC,Bank red its.,SupplierZ,1 years,Limited
03167083,Thingamajig,448.29,Toys,55.0,BrandA,Thank military game series fall close door.,SupplierY,1 years,In Stock
83234675,Widget,144.23,Grocery,51.0,BrandC,Into message prevent network fear actually huge.,SupplierZ,1 years,In Stock
67565962,Gadget,373.9,Home,87.0,BrandC,Already certain trip total.,SupplierZ,1 years,Out of Stock
69166389,Gadget,290.26,Grocery,83.0,BrandB,Mean network white clear available.,SupplierX,3 years,Out of Stock
36820313,Contraption,169.36,Grocery,66.0,BrandA,Model modern reflect camera character plan.,SupplierZ,1 years,Out of Stock
50504282,Thingamajig,80.48,Electronics,48.0,BrandB,Vote laugh fine. Money probably look seek than.,SupplierX,2 years,Limited
99534387,Thingamajig,179.72,Electronics,87.0,BrandD,Down power view new serious.,SupplierX,3 years,Out of Stock
40110004,Contraption,102.48,Books,8.0,BrandA,Save million always.,SupplierZ,1 years,In Stock
80938057,Contraption,117.24,Home,31.0,BrandD,Talk computer bag nature.,SupplierY,3 years,Limited
92205840,Whatchamacallit,397.39,Home,34.0,BrandD,Stay expect issue organization perhaps specific.,SupplierX,2 years,Out of Stock
49257472,Doohickey,250.68,Toys,63.0,BrandD,Evidence case must in.,SupplierY,1 years,Limited
85166851,Thingamajig,318.42,Toys,25.0,BrandA,City both realize me another American listen.,SupplierY,2 years,Limited
72894989,Widget,212.66,Grocery,76.0,BrandC,Role factor seven edge soon technology.,SupplierY,3 years,Out of Stock
40063621,Contraption,261.1,Toys,21.0,BrandB,Wide education four party positive wall baby.,SupplierZ,3 years,Out of Stock
83412950,Doohickey,146.5,Books,52.0,BrandA,Think head degree financial.,SupplierZ,1 years,Limited
42489221,Contraption,308.9,Books,1.0,BrandB,Four argue wrong vote those nor.,SupplierY,2 years,Out of Stock
89636909,Thingamajig,395.43,Toys,59.0,BrandD,Agent down actually their eye art either.,SupplierX,3 years,Out of Stock
20440787,Doohickey,77.93,Grocery,99.0,BrandD,Deal vote market second.,SupplierX,3 years,In Stock
13744090,Widget,470.98,Grocery,15.0,BrandD,Lot professional field.,SupplierZ,1 years,In Stock
37321819,Gadget,282.92,Grocery,62.0,BrandA,Memory write about election early question.,SupplierX,2 years,Limited
