continent,country,state,city,postal_code,latitude,longitude,timezone,address,region
Asia,Italy,Colorado,Port Michael,79516,-17.074512,-46.998467,Europe/Andorra,"6674 Tiffany Key, Javierton, TN 36458",NM
,,Iowa,Deckerchester,94450,39.6565705,,,"14699 Rodney Corner Suite 557, South Kennethville, PW 72876",MN
Australia,Korea,Nevada,,40730,29.3342485,-26.852086,Asia/Pontianak,"60486 Thompson Harbors, Valentineland, ME 79027",FL
Antarctica,French Guiana,Oklahoma,Cordovaton,87764,10.5245035,-12.054993,Europe/Tirane,"211 Miller Terrace, Colemanton, AK 23278",NV
Europe,Liberia,West Virginia,New Ryanborough,56454,-28.456815,53.899106,America/Monterrey,"47114 Catherine Islands Suite 774, East Renee, IN 90277",AR
Europe,United Kingdom,Washington,Samuelland,46696,42.8442935,51.354333,Asia/Karachi,"USS Kelly, FPO AA 52865",CA
Australia,,New Hampshire,,84842,16.4390755,,Europe/London,"119 Lopez Divide, Rachelville, PW 83887",PA
South America,French Southern Territories,Georgia,South Sherriton,01536,0.551397,-13.188189,Atlantic/Azores,"589 Gomez Square Apt. 816, Lake Michaelburgh, FL 70429",CA
,Saint Barthelemy,Montana,Wrightborough,90245,-14.7923465,-151.350633,Asia/Tashkent,"95427 Angela Lake, Robertshire, ND 02691",AR
South America,Iraq,North Carolina,Wolfville,93279,12.838433,-75.222609,Europe/Oslo,"36370 Jacob Street, Johnsonborough, GU 80804",DC
,Bangladesh,,Danielstad,22643,,120.633473,Africa/Dakar,"1724 Jay Fields, Myersfort, NH 42706",VT
Asia,Comoros,Rhode Island,Jasonburgh,24363,-44.912406,-87.308259,,"2667 Cunningham Estates, Harmonhaven, OR 30215",CA
Antarctica,Luxembourg,,Johnsonside,61745,-33.7109065,134.949045,,"91347 Richards Fort, Jenkinsview, VA 45320",
North America,Djibouti,Iowa,Joneshaven,04154,7.933038,-30.723286,Africa/Libreville,,IL
Australia,Cyprus,Idaho,Johnsonmouth,83591,-89.5902545,-78.213709,America/St_Kitts,"39791 Phillip Run Suite 021, Hatfieldchester, AS 33373",GA
Africa,Papua New Guinea,Minnesota,Port Laurie,64834,-15.4373745,89.613879,America/Antigua,,TX
Africa,Yemen,New Jersey,Goldenhaven,31228,27.040132,,Pacific/Efate,"616 Ward Inlet, Jamesview, NJ 30012",
North America,Spain,,East Alishahaven,78800,-51.4745375,-37.722545,America/Barbados,"5471 David Court Apt. 846, Lake Kimberlyborough, FM 90837",GA
Australia,Nigeria,Montana,North Charles,79540,-34.217411,,Europe/Zagreb,"57343 Jerome Squares, North Tiffanyport, IL 90194",WA
,Afghanistan,Michigan,Lake Heather,02097,-39.967946,27.678525,Asia/Jayapura,,OH
North America,Timor-Leste,New Hampshire,Port Jenniferfurt,29545,16.990021,-101.098397,Africa/Windhoek,"943 Smith Cove Apt. 340, Moyerfurt, SC 30681",IN
Europe,Brunei Darussalam,Washington,Sullivanchester,75485,84.9945115,-13.555475,Asia/Beirut,"489 Katherine Mall Apt. 117, South Edwardmouth, OH 09421",NY
Antarctica,Puerto Rico,Montana,Olsonview,90505,-44.031566,-68.875345,Indian/Maldives,"5899 Margaret Burg Apt. 207, South Katherine, IN 08367",GA
Asia,Croatia,Delaware,Patelville,55961,-61.6907745,-114.715666,Africa/Mogadishu,"355 Cooper Centers Apt. 006, New Heatherside, GU 78626",
Africa,Sri Lanka,Delaware,Thompsonfort,04521,60.9790145,-11.532097,Africa/Maputo,"8184 Michael Run, South Regina, NH 52611",ME
Australia,Venezuela,Pennsylvania,Fernandezview,,-64.599958,134.511445,America/Asuncion,"450 Kathleen Shoals Apt. 880, North Omar, RI 00896",WA
Australia,Kenya,New Mexico,Schultzstad,11331,-70.897780,-11.206307,Australia/Hobart,"6415 Diaz Bypass Apt. 499, Michaelborough, RI 88357",NY
Australia,,Georgia,New Christopher,75283,-20.780182,-21.746735,Europe/Copenhagen,"99130 Brown Trail, New John, UT 17632",VI
Europe,Switzerland,New Mexico,New Carolyn,14154,51.8692195,117.849921,Pacific/Apia,"89759 Alan Court, North Alicia, MH 86691",MP
Europe,Georgia,California,West Russellville,16273,-71.8939235,-100.296965,Europe/Zagreb,"645 Alexandria Walks, West Markshire, MD 95326",CO
Africa,Cocos (Keeling) Islands,Illinois,North Christine,,11.709416,14.540766,America/Dominica,"6857 Keith Courts, West Kaylaville, OH 29382",PR
South America,Lithuania,,Melissaberg,28003,-59.403124,-165.095338,Asia/Vientiane,"0406 Christine Crescent, Sheilafurt, IL 90749",GU
Asia,,Washington,Lake Deniseside,00920,39.544261,-69.757614,Africa/Ouagadougou,"4496 Tanner Stream Suite 594, Lake Edwardport, IA 64421",ID
North America,Faroe Islands,Texas,Lisamouth,78544,17.312413,,Africa/Malabo,"1897 Hays Drives Apt. 819, East Cassie, NJ 39719",
Australia,El Salvador,New Hampshire,Lake Markport,32124,-23.0922715,97.798904,America/Antigua,"904 Cannon Summit Suite 689, Lake Alexander, WI 85692",LA
